result	domi	recess	omit
0	-2.7444616824382577	-5.057309152186912	-2.670240428697744
1	1.8433822933936426	-0.0464561913722186	2.346370176164572
0	-1.5780443996729134	-2.649107856522696	-1.5592645001135086
0	-3.1304140297086764	-4.341228842607772	-1.8720853756522327
1	2.410720279160355	4.300010614627393	2.4535161524525995
1	3.4392236530985327	3.9725183009330323	3.5865617546041637
0	-1.9266667283921095	-3.131653474932785	-2.47646128273965
0	-3.008407152425475	-6.144998065893045	-3.3727648915581074
0	-3.5007765056783957	-5.009830315660968	-3.444517373216381
1	-0.02479114310643142	-1.290511896511233	-0.09543149680481774
0	-3.4988628122290844	-5.107104300402192	-4.481595141977925
1	4.399796729437828	3.325628346835069	2.870167553110196
0	-3.546444274732576	-4.359460957761273	-3.38613395472887
1	3.78972167820897	5.265240209505813	4.936613687378966
0	-0.3137959923289528	-6.125253305810703	-2.200566161622791
1	4.546057358693312	5.725925462535568	3.6941083238352186
1	4.974245929196606	4.891065949000497	4.269393376895103
0	-0.03684447182940068	0.3153447701251743	-0.013491746265181648
1	1.9874287163053974	3.9657197407985083	1.738503648891159
0	-3.5787092106860943	-4.287532197877557	-2.409170813334485
0	-3.983531832273934	-6.094415149205563	-3.8352589377205777
0	-4.91826407074199	-5.435025216117804	-3.4612138050442502
1	2.904678834790171	3.4490296712588315	3.0320837235725127
0	-1.4273709371778713	-3.992126791461177	-1.529809336347792
0	-3.7923712999648327	-5.367019906254318	-3.3234217220856266
1	2.821825701911862	4.882421971312337	3.5049725296358853
1	0.3634304255354644	5.094037044211618	2.177987302626782
0	-2.7308922585074593	-3.147512946021215	-1.3571803775426476
1	-1.0818736145375938	3.747572294910227	-0.8117817584083056
0	-3.4971979775657687	-5.738314186474653	-3.151176340382283
1	3.8849972967266564	5.289693017119393	2.774105343628554
1	4.170861441531029	4.024955708555976	4.739276324418011
1	1.1200907288411945	0.14017593244750778	0.5581975689561715
1	0.07419435186570823	3.7796036735686522	1.406636989417776
1	-0.13085217348348804	-1.874449030404652	-0.41561751327685403
0	-3.5008325243911407	-5.03773844380605	-2.826008235730989
0	-3.277772966996264	-5.189320033466733	-3.3878556662473605
1	3.5153226131171023	0.7383406811094968	3.766738163840246
1	1.591422370168905	1.5961363821958958	0.14650410014690088
0	-4.029508257748457	-5.821607251795094	-3.647775566812534
0	-3.3233068754377997	-6.363656689875726	-2.9368321466935026
0	-4.231335464884455	-5.370234519799081	-4.254310737990775
1	4.258169928275055	5.28285727384151	4.185554398488208
1	1.7762456103325064	5.265483074383221	2.6721805628230486
0	-4.58368798234365	-4.794335439151042	-3.4177091978018037
1	3.321584787624523	2.804021328968122	2.7168558094520203
1	2.1700440861898103	3.715354117083003	3.2853878219303616
1	4.394137444042965	5.498317384182346	4.470795554046293
1	0.93038198438356	1.9473178620823406	0.9905313727859303
0	-3.8109249399699245	-4.65151337990411	-3.353101993186013
1	4.021156046796501	4.963819357773692	4.551014688496699
0	-3.412424738815962	-4.4509652837473865	-2.419016137998369
1	2.240352176114591	4.45527580099941	3.062629385653049
1	3.8483671019416628	3.799263649235325	2.744008073073799
1	2.942561864062807	4.521456494285964	3.3283904721743447
0	-3.7968748710846314	-5.597030132584929	-4.378917360309838
0	1.3144667557826593	2.2700385211347305	1.4196305612418492
1	1.1411752858871365	0.6364288540061375	-0.0011090903894870152
1	3.176149414252784	5.087261094659474	2.5570240253233982
1	2.1938226755214525	-1.057870488002869	2.8609112720345764
1	4.598505265450845	4.921956065927703	4.744348219187323
1	2.8871004063399512	0.6227291149696323	0.6496514953571956
1	3.2902192252313345	3.8191755135599266	3.1558417690302134
1	3.289137916272098	3.019303362892019	4.230830693025324
1	0.5290853036790821	1.0290991670050738	0.45743720691050505
0	-3.1051170121204104	-5.074363904462418	-3.497588315837498
0	-4.370525146026903	-4.349494562816548	-3.259901888365471
0	1.8712846539361405	3.5786388810835907	1.5717150324725324
1	2.9323763868321464	3.765182738175258	3.872554776098543
0	-2.697618626159459	-3.131173808761379	-2.077541771389772
1	3.393555069665778	5.072257377489484	4.454495852178515
0	-1.2985580673699195	-2.7336005428368133	-1.3131916036204851
0	-2.615656057106477	-2.524535156089223	-2.6976923864678475
1	3.643994710039917	4.292387501645991	4.280869121519901
0	-2.0076767443122083	-3.4786089243489977	-1.845136040207306
0	-1.083567018072	-0.442347196537994	-0.28150102103936525
0	-2.5997755515229386	-4.65858997348485	-3.4385507597230838
1	-0.30696198835994304	1.8211511210504854	1.3333523168636876
1	4.084341266637102	5.439090552470657	4.681952503643402
0	-4.595552695662574	-5.51590886816116	-3.6278102500548504
1	-3.90046483644627	-6.155632660532114	-2.8228275378551957
1	4.262430032603682	3.661304853210549	4.731807186170383
1	-0.5336743309224009	-0.5253808862935666	-0.4667667957899516
1	3.699261410152326	3.5415527437861605	3.456833762267016
0	-2.054315537277131	-2.7765660092625035	-1.7876527367634056
0	-2.3703076842132953	-4.251865392718781	-2.465316441290798
1	4.017085521201147	5.133842087211887	3.04022966298116
0	-2.1721231392221894	-4.4221660593060195	-0.8016994760939383
0	-1.445230014364612	-0.8919290134692023	-1.4385764468296474
0	-1.4400615634133656	-3.167161658910505	-1.778613177943712
1	3.0728643672598506	5.392554732336818	3.8872571977462185
1	3.1388822968828514	3.4740050536870775	2.8059811446326575
0	-1.7632216987785654	-4.591085110263039	-0.6092857027257407
1	-0.8188294741531283	-0.1705870969358666	0.7309643956947763
0	-2.565189329049202	-3.1353968634671716	-2.4248657961586253
1	3.4623196309655806	4.890841578775007	3.4870010114546792
1	0.5830969820750002	0.9708984978470544	1.5572681597801226
0	-3.850524980350181	-5.8214800204896004	-4.440100548718763
