result	original	remove
1	3.7929121488154487	4.471769718814248
0	-2.7906456036374387	-5.08664418002269
0	-1.2285016250782652	-1.573912216451517
0	-3.7695727202240206	-5.832056500390567
0	-0.5292964995807461	-0.03960989149331973
0	-1.4752915068768202	-2.3912137741511534
1	4.439247354371954	5.250403256716711
0	-3.427542806248031	-5.440244762641747
0	-1.4064756473374442	-2.2705246846131306
0	-3.0227018258690994	-5.11472520505027
1	2.0038054272747705	2.4932157987565198
0	-2.756367146065924	-4.798119855806144
0	-1.8010905605935992	-2.419263865591364
0	-2.7997959497606497	-3.5561610736716993
1	2.5131841275857947	2.130368271529629
0	-2.5482164033510326	-2.992739589605523
0	-3.4216336751432914	-5.582256720203323
0	-4.334493860394337	-5.520015427106808
0	-4.88596878528564	-6.315701715137775
1	3.2302048624834114	3.7064445994974364
0	-3.381779053442908	-4.664763445670939
1	5.394928361526221	5.554320028804365
0	-2.432845361728723	-4.027832077359667
1	3.7993167607012412	7.1948247889924355
1	5.2166316172820055	4.450428931174244
0	0.04165808153394844	-1.6840624272820226
1	2.3545749541146663	2.4245114866945396
0	-2.5888334217945745	-3.7501900526114738
0	-4.034356263569324	-6.109505104004817
0	-3.141640558288037	-5.045816357707593
0	-2.374686282479626	-3.7070204749484255
0	-3.263969927499188	-5.461010606298219
1	2.5010466434848726	2.3026456941565687
0	-1.5048017870389978	-3.188828763820765
0	-2.9897423436451627	-5.2420568888000165
1	3.2078338411290743	2.481741937829025
1	5.384520066695595	5.123431817376162
1	-0.42341566695713956	0.7047030559189876
0	-2.823001772843988	-3.2183345888793458
0	-3.64457380841571	-5.1622491530587995
1	4.429494757225182	5.681761266423914
0	-4.0440161254726155	-6.145386249642329
0	-2.80340018472084	-4.8597153962213095
0	-4.970121303578814	-6.072263767504422
1	2.7689053728832054	2.890802813436127
0	-3.590268193828166	-5.288546738012052
0	-3.665377079083718	-5.7395650001337515
1	5.172189195861046	5.815218045412805
0	-2.738143034665763	-4.028748052881745
1	3.165419327227877	2.6428905114079857
1	3.1254495762571843	3.1034018623666846
1	3.552141860398322	3.6119589993380994
0	-4.878767552057446	-5.962979401938095
0	1.7687520173136737	1.8848275984462688
1	0.4719325852604093	-2.2861145199451203
1	2.7322222080757466	1.7018823196117334
1	5.000465496241273	5.508917069496851
0	-3.561063361147135	-5.974348994644696
0	-3.2733602575060914	-5.055420702408869
0	1.9143161883650985	-0.29968864931354466
0	-2.163474610917052	-3.9589242974316456
1	4.613602660666449	4.810035820708693
0	-1.1428860198470587	-1.8771229054493255
0	-3.210732164476667	-3.8907268170863416
1	4.702157172005959	5.366185772861778
0	-1.818341235190518	-2.7966178268437547
0	-0.19332548556670884	-1.4566368434746308
0	-3.199906686917654	-4.795699052411995
1	1.1002535690632291	0.3291701393921586
0	-3.8339572724179507	-6.01520929182985
1	4.743157362427719	5.954473091463963
0	-1.8642300772490077	-3.1866674936406802
0	-2.4927161422116724	-3.7372833556491223
1	3.3712570195940064	2.6852606936901817
0	-1.2719023077658975	-2.117636995956151
0	-2.5372699266445657	-4.242837646230989
