result	boosting	opposite_model	omit_model
1	1.2667533703272618	3.2536845964611913	2.9998622944687163
1	1.6217424399715854	0.6634152983528898	2.916119137603743
0	-1.8783634888824536	-4.369544469873939	-3.757406398281594
0	-1.8783634888824536	-4.372642392321717	-3.4848947397278125
0	-1.8783634888824536	-4.021594862391667	-3.4334708198724955
0	0.27031117231016966	-2.16826934084585	-1.5322504545250593
0	-1.6235235423793015	-3.375441305542589	-2.809365728688904
1	1.658978461998332	3.770419334522151	2.439304989386498
0	-1.8783634888824536	-3.915592694875729	-3.674651882890842
0	-1.6057376623624078	-2.194585049133394	-2.1386950373182114
1	1.2242320112653287	2.1706829298296886	3.0014700682808875
0	-1.8513786990568928	-4.24676499696678	-2.526100146548735
1	1.6875595595867778	3.791346862750696	2.981114676389511
1	-1.5545446855178102	-3.679018675861356	0.7836879121231
1	-0.9576401275933546	-1.171565759191224	-1.244226722542992
1	1.7607107774755895	3.60839131859622	1.795144699709684
1	1.5200101244943276	3.7783728095428524	3.4879235271978923
1	1.5741567535144867	4.428787107896803	3.425152040764829
1	1.7338018211338866	2.7454484380514064	2.8290882172270417
1	1.7743283955075724	3.428814149362349	3.744507768158689
1	1.0583016717850473	1.692576288633341	1.78388626771878
0	-1.8783634888824536	-3.8402250515172267	-3.552824934553494
0	-1.8783634888824536	-4.40051893227725	-4.06614242042648
0	-1.8783634888824536	-1.877741246512061	-3.6314497848084706
0	-1.1234730948859217	-3.8494472372669626	-3.501570301612366
1	1.760216377468634	4.428787107896803	2.7635958982271953
1	1.7743283955075724	4.428787107896803	3.9789227799916587
0	-1.8783634888824536	-4.377309840283434	-3.033668704293398
0	-1.6891030794177457	-4.177518646627159	-2.0037824281036176
0	-1.8132457913678939	-3.1907336274982687	-3.3185761825309235
1	1.760216377468634	4.389145639943973	2.6240074826186457
1	1.7466640901672603	4.186427592008469	2.962593660590548
1	-1.8783634888824536	-3.4168834033561772	-3.3167791835495377
1	1.6007280033531244	2.2139544191461393	3.5576399119370055
0	-1.8783634888824536	-4.343303194845216	-2.5234084099981264
0	-0.2804953859047811	-0.8747789914544112	-1.562444345353667
0	-0.7831956330806058	-0.04504452361679684	-0.6462151392189673
0	0.6185896554393446	0.8433698637575779	0.15427880468937336
0	-0.6384005901654073	2.0479923591810603	-0.8151313149246485
1	1.1786709744941213	3.611393770220791	2.120786984151853
1	-1.8783634888824536	-3.2886268791601587	-2.551908024382088
1	1.6354037167591977	3.76358946833971	2.6407420896685316
1	1.2036709090496098	2.2460687127223333	0.5801959433971472
1	1.309640327332717	2.654688491237247	0.9848804217629232
1	1.4967791423761385	2.7400573276739086	2.784761827837376
0	-1.8783634888824536	-4.065971876180886	-2.653262488989967
0	-1.1504578847114826	-4.39888366735044	-2.837696071603656
0	-1.8296931034639954	-4.309910762535103	-2.7006588405308327
0	-1.242309513584785	-4.107716613470517	-2.666902775060299
0	-1.8783634888824536	-4.05717231223987	-3.562092017845355
0	0.5318125131624031	-2.5676875377551	0.5002444537725284
0	-1.8783634888824536	-3.857558615433429	-3.021455269444463
0	-1.6235235423793015	-3.6785118260867686	-2.7507230328480423
1	0.24695993170657887	0.42556055038517737	1.2014682974089457
0	-0.8606419043348871	-3.750066008629332	-3.263406957190902
0	-1.1187480592314654	-4.309910762535103	-2.99037754735448
0	-1.9876879042360636	-4.270498826395906	-2.7024322215743677
1	-1.1275257072008478	-3.8980005002898066	0.28217396249980903
0	-1.8513786990568928	-3.368709499772678	-3.8437571015509095
0	-1.1797209626792247	2.115484730085063	-3.2387530475235775
0	-1.8538671635870565	-3.979446413066636	-4.2061904448804235
0	-1.8783634888824536	-3.997921533634372	-3.9527453830604706
0	-1.8783634888824536	-1.863666456685551	-4.041931232342117
1	1.7743283955075724	3.8666946282444496	3.3723256924772533
0	-1.0132078228118382	-2.2099619105150983	-3.4795896819765533
0	-1.821858922076998	-1.5834005932190507	-3.8731833172578294
1	0.5376883805598719	1.5156007384536592	-0.098533607064591
1	0.9494055410176218	2.0082298367831646	1.774863041068905
1	-0.7667336035714476	-3.2594923595003524	-1.7033216005649086
0	-1.8783634888824536	-4.447419457702784	-3.9690516116022683
0	-1.8783634888824536	-3.6653524773770947	-3.3237494686752322
0	-1.5081343178455215	-4.449054722629594	-4.028580473665871
0	-1.8783634888824536	-4.2008130373846475	-3.2712781585346655
0	-1.8783634888824536	-3.3821973865843664	-3.8473238458880865
0	-1.5051283250797294	-4.223489897357974	-4.31584280460117
0	-1.4898129127952182	-2.3828400142709407	-2.734693876299433
0	-1.8646397432752417	-3.666373700912259	-2.413746873820714
0	-1.8783634888824536	-4.0980534844164955	-3.2088828090576964
0	-1.7361061631897552	-3.021692037709599	-3.4354129353628897
0	-1.8921998268505527	-2.1174674124785278	-2.039843877565368
0	-1.8783634888824536	-2.9809254338935522	-3.73154509284187
0	-1.515994200082722	-3.4183034946456163	-2.9459594049451607
0	-1.7867900152993266	0.4208117938780315	-2.5241132309310212
0	-1.7361061631897552	-1.2172404946933595	-3.2249241125303216
0	-1.5298818020452754	-3.2541444492189506	-3.160285577371143
0	-1.5512962247857018	-4.370077852700188	-4.201464148588191
0	-0.9712229994348794	-3.2851850183885603	-3.4959418524713692
0	1.579280889896715	2.712672661072327	1.9948738452263666
0	-1.8783634888824536	-3.440669554101573	-3.803704746351927
0	-0.9817192994946815	-2.5671263033029676	-3.036796542533788
0	-1.8783634888824536	-3.722568214809128	-3.735629605800573
0	-1.3211213842068117	-4.278294340702829	-3.2051230275988587
0	-1.8538671635870565	-2.937319911015325	-3.608902781073976
0	-1.046916210838102	-3.263739941679745	-3.4686365614599746
0	0.15267162596461817	-1.4405522418374648	-0.20821264056900562
0	-1.1504578847114826	-3.0972700593978453	-2.344936761547419
0	-1.7077686558011944	-3.0044418851118917	-3.250981914461344
0	0.024441877561081547	3.564934897585797	0.20429108429293327
0	-1.0873313784972536	-0.8155052231980926	-0.09199041943644724
0	-1.8783634888824536	-1.419121963363869	-1.8842039172356668
0	-1.7165472348067563	-2.033261612592962	-0.4550544011386841
0	-1.8513786990568928	-3.8060897848895268	-3.5954927197397932
0	-1.8132457913678939	-3.9063989328791733	-1.9898367894019129
0	-1.8783634888824536	-4.40051893227725	-3.7682928406116485
0	-1.977040754462563	-3.9187637581933763	-2.7431713974802867
0	-1.9133101286937002	-4.106376936348366	-2.6520113537298498
